Date,Month,Weekday,DayType,Hour,Base,Total_Trips
2014-04-02,Apr,Wed,Weekday,9,B02598,185
2014-04-02,Apr,Wed,Weekday,9,B02617,141
2014-04-02,Apr,Wed,Weekday,9,B02682,269
2014-04-02,Apr,Wed,Weekday,9,B02764,12
2014-04-02,Apr,Wed,Weekday,10,B02512,59
2014-04-02,Apr,Wed,Weekday,10,B02598,163
2014-04-02,Apr,Wed,Weekday,10,B02617,145
2014-04-02,Apr,Wed,Weekday,10,B02682,274
2014-04-02,Apr,Wed,Weekday,10,B02764,17
2014-04-02,Apr,Wed,Weekday,11,B02512,52
2014-04-02,Apr,Wed,Weekday,11,B02598,177
2014-04-02,Apr,Wed,Weekday,11,B02617,145
2014-04-02,Apr,Wed,Weekday,11,B02682,324
2014-04-02,Apr,Wed,Weekday,11,B02764,8
2014-04-02,Apr,Wed,Weekday,12,B02512,48
2014-04-02,Apr,Wed,Weekday,12,B02598,170
2014-04-02,Apr,Wed,Weekday,12,B02617,128
2014-04-02,Apr,Wed,Weekday,12,B02682,273
2014-04-02,Apr,Wed,Weekday,12,B02764,13
2014-04-02,Apr,Wed,Weekday,13,B02512,54
2014-04-02,Apr,Wed,Weekday,13,B02598,174
2014-04-02,Apr,Wed,Weekday,13,B02617,156
2014-04-02,Apr,Wed,Weekday,13,B02682,306
2014-04-02,Apr,Wed,Weekday,13,B02764,19
2014-04-02,Apr,Wed,Weekday,14,B02512,86
2014-04-02,Apr,Wed,Weekday,14,B02598,216
2014-04-02,Apr,Wed,Weekday,14,B02617,184
2014-04-02,Apr,Wed,Weekday,14,B02682,362
2014-04-02,Apr,Wed,Weekday,14,B02764,20
2014-04-02,Apr,Wed,Weekday,15,B02512,102
2014-04-02,Apr,Wed,Weekday,15,B02598,278
2014-04-02,Apr,Wed,Weekday,15,B02617,234
2014-04-02,Apr,Wed,Weekday,15,B02682,497
2014-04-02,Apr,Wed,Weekday,15,B02764,27
2014-04-02,Apr,Wed,Weekday,16,B02512,110
2014-04-02,Apr,Wed,Weekday,16,B02598,325
2014-04-02,Apr,Wed,Weekday,16,B02617,289
2014-04-02,Apr,Wed,Weekday,16,B02682,568
2014-04-02,Apr,Wed,Weekday,16,B02764,21
2014-04-02,Apr,Wed,Weekday,17,B02512,128
2014-04-02,Apr,Wed,Weekday,17,B02598,428
2014-04-02,Apr,Wed,Weekday,17,B02617,350
2014-04-02,Apr,Wed,Weekday,17,B02682,663
2014-04-02,Apr,Wed,Weekday,17,B02764,31
2014-04-02,Apr,Wed,Weekday,18,B02512,97
2014-04-02,Apr,Wed,Weekday,18,B02598,324
2014-04-02,Apr,Wed,Weekday,18,B02617,257
2014-04-02,Apr,Wed,Weekday,18,B02682,546
2014-04-02,Apr,Wed,Weekday,18,B02764,28
2014-04-02,Apr,Wed,Weekday,19,B02512,73
2014-04-02,Apr,Wed,Weekday,19,B02598,300
2014-04-02,Apr,Wed,Weekday,19,B02617,233
2014-04-02,Apr,Wed,Weekday,19,B02682,465
2014-04-02,Apr,Wed,Weekday,19,B02764,15
2014-04-02,Apr,Wed,Weekday,20,B02512,78
2014-04-02,Apr,Wed,Weekday,20,B02598,286
2014-04-02,Apr,Wed,Weekday,20,B02617,243
2014-04-02,Apr,Wed,Weekday,20,B02682,512
2014-04-02,Apr,Wed,Weekday,20,B02764,24
2014-04-02,Apr,Wed,Weekday,21,B02512,71
2014-04-02,Apr,Wed,Weekday,21,B02598,276
2014-04-02,Apr,Wed,Weekday,21,B02617,210
2014-04-02,Apr,Wed,Weekday,21,B02682,410
2014-04-02,Apr,Wed,Weekday,21,B02764,27
2014-04-02,Apr,Wed,Weekday,22,B02512,44
2014-04-02,Apr,Wed,Weekday,22,B02598,155
2014-04-02,Apr,Wed,Weekday,22,B02617,153
2014-04-02,Apr,Wed,Weekday,22,B02682,272
2014-04-02,Apr,Wed,Weekday,22,B02764,14
2014-04-02,Apr,Wed,Weekday,23,B02512,20
2014-04-02,Apr,Wed,Weekday,23,B02598,97
2014-04-02,Apr,Wed,Weekday,23,B02617,62
2014-04-02,Apr,Wed,Weekday,23,B02682,165
2014-04-02,Apr,Wed,Weekday,23,B02764,4
2014-04-03,Apr,Thu,Weekday,0,B02512,17
2014-04-03,Apr,Thu,Weekday,0,B02598,49
2014-04-03,Apr,Thu,Weekday,0,B02617,37
2014-04-03,Apr,Thu,Weekday,0,B02682,88
2014-04-03,Apr,Thu,Weekday,0,B02764,3
2014-04-03,Apr,Thu,Weekday,1,B02512,7
2014-04-03,Apr,Thu,Weekday,1,B02598,30
2014-04-03,Apr,Thu,Weekday,1,B02617,23
2014-04-03,Apr,Thu,Weekday,1,B02682,45
2014-04-03,Apr,Thu,Weekday,1,B02764,1
2014-04-03,Apr,Thu,Weekday,2,B02512,4
2014-04-03,Apr,Thu,Weekday,2,B02598,11
2014-04-03,Apr,Thu,Weekday,2,B02617,11
2014-04-03,Apr,Thu,Weekday,2,B02682,37
2014-04-03,Apr,Thu,Weekday,2,B02764,3
2014-04-03,Apr,Thu,Weekday,3,B02512,5
2014-04-03,Apr,Thu,Weekday,3,B02598,37
2014-04-03,Apr,Thu,Weekday,3,B02617,19
2014-04-03,Apr,Thu,Weekday,3,B02682,68
2014-04-03,Apr,Thu,Weekday,3,B02764,1
2014-04-03,Apr,Thu,Weekday,4,B02512,7
2014-04-03,Apr,Thu,Weekday,4,B02598,49
2014-04-03,Apr,Thu,Weekday,4,B02617,36
2014-04-03,Apr,Thu,Weekday,4,B02682,97
2014-04-03,Apr,Thu,Weekday,4,B02764,4
2014-04-03,Apr,Thu,Weekday,5,B02512,17
2014-04-03,Apr,Thu,Weekday,5,B02598,104
2014-04-03,Apr,Thu,Weekday,5,B02617,58
2014-04-03,Apr,Thu,Weekday,5,B02682,170
2014-04-03,Apr,Thu,Weekday,5,B02764,5
2014-04-03,Apr,Thu,Weekday,6,B02512,58
2014-04-03,Apr,Thu,Weekday,6,B02598,187
2014-04-03,Apr,Thu,Weekday,6,B02617,170
2014-04-03,Apr,Thu,Weekday,6,B02682,324
2014-04-03,Apr,Thu,Weekday,6,B02764,11
2014-04-03,Apr,Thu,Weekday,7,B02512,74
2014-04-03,Apr,Thu,Weekday,7,B02598,279
2014-04-03,Apr,Thu,Weekday,7,B02617,210
2014-04-03,Apr,Thu,Weekday,7,B02682,445
2014-04-03,Apr,Thu,Weekday,7,B02764,14
2014-04-03,Apr,Thu,Weekday,8,B02512,59
2014-04-03,Apr,Thu,Weekday,8,B02598,234
2014-04-03,Apr,Thu,Weekday,8,B02617,185
2014-04-03,Apr,Thu,Weekday,8,B02682,374
2014-04-03,Apr,Thu,Weekday,8,B02764,12
2014-04-03,Apr,Thu,Weekday,9,B02512,39
2014-04-03,Apr,Thu,Weekday,9,B02598,160
2014-04-03,Apr,Thu,Weekday,9,B02617,121
2014-04-03,Apr,Thu,Weekday,9,B02682,260
2014-04-03,Apr,Thu,Weekday,9,B02764,11
2014-04-03,Apr,Thu,Weekday,10,B02512,44
2014-04-03,Apr,Thu,Weekday,10,B02598,134
2014-04-03,Apr,Thu,Weekday,10,B02617,120
2014-04-03,Apr,Thu,Weekday,10,B02682,249
2014-04-03,Apr,Thu,Weekday,10,B02764,11
2014-04-03,Apr,Thu,Weekday,11,B02512,51
2014-04-03,Apr,Thu,Weekday,11,B02598,137
2014-04-03,Apr,Thu,Weekday,11,B02617,114
2014-04-03,Apr,Thu,Weekday,11,B02682,238
2014-04-03,Apr,Thu,Weekday,11,B02764,9
2014-04-03,Apr,Thu,Weekday,12,B02512,55
2014-04-03,Apr,Thu,Weekday,12,B02598,167
2014-04-03,Apr,Thu,Weekday,12,B02617,121
2014-04-03,Apr,Thu,Weekday,12,B02682,262
2014-04-03,Apr,Thu,Weekday,12,B02764,14
2014-04-03,Apr,Thu,Weekday,13,B02512,65
2014-04-03,Apr,Thu,Weekday,13,B02598,207
2014-04-03,Apr,Thu,Weekday,13,B02617,153
2014-04-03,Apr,Thu,Weekday,13,B02682,325
2014-04-03,Apr,Thu,Weekday,13,B02764,16
2014-04-03,Apr,Thu,Weekday,14,B02512,60
2014-04-03,Apr,Thu,Weekday,14,B02598,238
2014-04-03,Apr,Thu,Weekday,14,B02617,194
2014-04-03,Apr,Thu,Weekday,14,B02682,419
2014-04-03,Apr,Thu,Weekday,14,B02764,23
2014-04-03,Apr,Thu,Weekday,15,B02512,95
2014-04-03,Apr,Thu,Weekday,15,B02598,305
2014-04-03,Apr,Thu,Weekday,15,B02617,272
2014-04-03,Apr,Thu,Weekday,15,B02682,548
2014-04-03,Apr,Thu,Weekday,15,B02764,27
2014-04-03,Apr,Thu,Weekday,16,B02512,115
2014-04-03,Apr,Thu,Weekday,16,B02598,391
2014-04-03,Apr,Thu,Weekday,16,B02617,264
2014-04-03,Apr,Thu,Weekday,16,B02682,635
2014-04-03,Apr,Thu,Weekday,16,B02764,33
2014-04-03,Apr,Thu,Weekday,17,B02512,121
2014-04-03,Apr,Thu,Weekday,17,B02598,437
2014-04-03,Apr,Thu,Weekday,17,B02617,334
2014-04-03,Apr,Thu,Weekday,17,B02682,713
