Month,Base,Lat_Grid,Lon_Grid,Total_Trips
Apr,B02512,40.78,-74.03,2
Apr,B02512,40.78,-74.02,4
Apr,B02512,40.78,-74.01,13
Apr,B02512,40.78,-74,1
Apr,B02512,40.78,-73.99,143
Apr,B02512,40.78,-73.98,512
Apr,B02512,40.78,-73.97,143
Apr,B02512,40.78,-73.96000000000001,872
Apr,B02512,40.78,-73.95,409
Apr,B02512,40.78,-73.94,23
Apr,B02512,40.78,-73.93,1
Apr,B02512,40.78,-73.92,3
Apr,B02512,40.78,-73.91,9
Apr,B02512,40.78,-73.9,2
Apr,B02512,40.78,-73.85000000000001,1
Apr,B02512,40.78,-73.84,1
Apr,B02512,40.78,-73.82000000000001,2
Apr,B02512,40.78,-73.73,2
Apr,B02512,40.79,-74.08,2
Apr,B02512,40.79,-74.07000000000001,3
Apr,B02512,40.79,-74.05,3
Apr,B02512,40.79,-74.04,11
Apr,B02512,40.79,-74.02,4
Apr,B02512,40.79,-74.01,5
Apr,B02512,40.79,-74,5
Apr,B02512,40.79,-73.98,206
Apr,B02512,40.79,-73.97,292
Apr,B02512,40.79,-73.96000000000001,58
Apr,B02512,40.79,-73.95,98
Apr,B02512,40.79,-73.94,11
Apr,B02512,40.79,-73.93,4
Apr,B02512,40.79,-73.92,9
Apr,B02512,40.79,-73.81,1
Apr,B02512,40.79,-73.74,1
Apr,B02512,40.79,-73.71000000000001,1
Apr,B02512,40.800000000000004,-74.15,1
Apr,B02512,40.800000000000004,-74.10000000000001,1
Apr,B02512,40.800000000000004,-74.07000000000001,5
Apr,B02512,40.800000000000004,-74.06,1
Apr,B02512,40.800000000000004,-74.05,1
Apr,B02512,40.800000000000004,-74.03,1
Apr,B02512,40.800000000000004,-74.02,2
Apr,B02512,40.800000000000004,-74.01,1
Apr,B02512,40.800000000000004,-74,1
Apr,B02512,40.800000000000004,-73.99,3
Apr,B02512,40.800000000000004,-73.98,9
Apr,B02512,40.800000000000004,-73.97,114
Apr,B02512,40.800000000000004,-73.96000000000001,31
Apr,B02512,40.800000000000004,-73.95,33
Apr,B02512,40.800000000000004,-73.94,26
Apr,B02512,40.800000000000004,-73.93,11
Apr,B02512,40.800000000000004,-73.92,3
Apr,B02512,40.800000000000004,-73.82000000000001,1
Apr,B02512,40.81,-74.15,1
Apr,B02512,40.81,-74.14,1
Apr,B02512,40.81,-74.12,1
Apr,B02512,40.81,-74.11,2
Apr,B02512,40.81,-74.10000000000001,7
Apr,B02512,40.81,-74.08,6
Apr,B02512,40.81,-74.07000000000001,1
Apr,B02512,40.81,-74.02,1
Apr,B02512,40.81,-74.01,1
Apr,B02512,40.81,-74,4
Apr,B02512,40.81,-73.99,6
Apr,B02512,40.81,-73.98,1
Apr,B02512,40.81,-73.97,13
Apr,B02512,40.81,-73.96000000000001,57
Apr,B02512,40.81,-73.95,35
Apr,B02512,40.81,-73.94,23
Apr,B02512,40.81,-73.93,2
Apr,B02512,40.81,-73.92,4
Apr,B02512,40.81,-73.91,1
Apr,B02512,40.81,-73.87,2
Apr,B02512,40.82,-74.15,3
Apr,B02512,40.82,-74.13,1
Apr,B02512,40.82,-74.12,3
Apr,B02512,40.82,-74.11,1
Apr,B02512,40.82,-74.10000000000001,1
Apr,B02512,40.82,-74.07000000000001,2
Apr,B02512,40.82,-73.99,3
Apr,B02512,40.82,-73.97,1
Apr,B02512,40.82,-73.96000000000001,15
Apr,B02512,40.82,-73.95,12
Apr,B02512,40.82,-73.94,18
Apr,B02512,40.82,-73.93,5
Apr,B02512,40.82,-73.92,2
Apr,B02512,40.82,-73.91,2
Apr,B02512,40.82,-73.9,2
Apr,B02512,40.82,-73.89,4
Apr,B02512,40.82,-73.88,1
Apr,B02512,40.82,-73.86,1
Apr,B02512,40.83,-74.13,1
Apr,B02512,40.83,-74.12,1
Apr,B02512,40.83,-74.10000000000001,1
Apr,B02512,40.83,-74.09,1
Apr,B02512,40.83,-74.08,1
Apr,B02512,40.83,-74.06,1
Apr,B02512,40.83,-74.05,2
Apr,B02512,40.83,-73.98,1
Apr,B02512,40.83,-73.97,6
Apr,B02512,40.83,-73.95,14
Apr,B02512,40.83,-73.94,6
Apr,B02512,40.83,-73.93,15
Apr,B02512,40.83,-73.92,12
Apr,B02512,40.83,-73.9,1
Apr,B02512,40.83,-73.84,1
Apr,B02512,40.83,-73.83,1
Apr,B02512,40.83,-73.82000000000001,1
Apr,B02512,40.84,-74.15,3
Apr,B02512,40.84,-74.10000000000001,1
Apr,B02512,40.84,-74.07000000000001,2
Apr,B02512,40.84,-73.97,4
Apr,B02512,40.84,-73.95,2
Apr,B02512,40.84,-73.94,18
Apr,B02512,40.84,-73.93,1
Apr,B02512,40.84,-73.89,2
Apr,B02512,40.84,-73.87,1
Apr,B02512,40.84,-73.85000000000001,1
Apr,B02512,40.84,-73.84,1
Apr,B02512,40.84,-73.83,1
Apr,B02512,40.84,-73.82000000000001,1
Apr,B02512,40.85,-74.12,1
Apr,B02512,40.85,-74.08,1
Apr,B02512,40.85,-74.07000000000001,1
Apr,B02512,40.85,-74.02,1
Apr,B02512,40.85,-74.01,1
Apr,B02512,40.85,-73.97,5
Apr,B02512,40.85,-73.96000000000001,1
Apr,B02512,40.85,-73.94,9
Apr,B02512,40.85,-73.93,5
Apr,B02512,40.85,-73.91,2
Apr,B02512,40.85,-73.89,5
Apr,B02512,40.85,-73.88,1
Apr,B02512,40.85,-73.87,1
Apr,B02512,40.85,-73.86,1
Apr,B02512,40.85,-73.85000000000001,1
Apr,B02512,40.85,-73.84,1
Apr,B02512,40.85,-73.83,1
Apr,B02512,40.86,-74.08,1
Apr,B02512,40.86,-74.07000000000001,1
Apr,B02512,40.86,-74.04,1
Apr,B02512,40.86,-73.98,1
Apr,B02512,40.86,-73.97,4
Apr,B02512,40.86,-73.96000000000001,1
Apr,B02512,40.86,-73.94,1
Apr,B02512,40.86,-73.93,6
