Lat,Lon,Total_Trips,Cluster_ID,Neighborhood_Trips,Is_Core,X_Km,Y_Km,Cluster_Total_Trips,Cluster_Share,Center_Lat,Center_Lon
40.6,-73.91,87,0,743,FALSE,5.896624945449588,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.9,1,0,435,FALSE,6.738999937655816,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.82,7,0,122,FALSE,13.477999875312829,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.8,4,0,128,FALSE,15.162749859726485,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.79,3,0,77,FALSE,16.00512485193271,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.78,5,0,46,FALSE,16.84749984414014,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.77,12,0,84,FALSE,17.689874836347567,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.76,37,0,162,FALSE,18.532249828553795,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.75,49,0,295,FALSE,19.374624820761223,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.74,46,0,361,FALSE,20.216999812968645,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.73,2,0,344,FALSE,21.059374805174876,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.6,-73.72,11,0,281,FALSE,21.9017497973823,-16.679262035029776,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.15,5,0,22,FALSE,-14.320374867519059,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.14,3,0,46,FALSE,-13.477999875311632,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.13,11,0,82,FALSE,-12.635624883104207,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.12,27,0,104,FALSE,-11.793249890897977,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.11,5,0,132,FALSE,-10.950874898690552,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.1,14,0,157,FALSE,-10.108499906483125,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.09,16,0,195,FALSE,-9.266124914276897,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.08,24,0,210,FALSE,-8.42374992206947,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.07,20,0,257,FALSE,-7.581374929862044,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.06,97,0,185,FALSE,-6.738999937655816,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.05,1,0,701,FALSE,-5.896624945448391,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.04,119,0,2775,FALSE,-5.054249953242161,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.03,366,0,4077,FALSE,-4.211874961034735,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.02,261,0,4307,FALSE,-3.3694999688273097,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74.01,317,0,3156,FALSE,-2.5271249766210806,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-74,377,0,2801,FALSE,-1.6847499844136549,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.99,229,0,2797,FALSE,-0.8423749922062288,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.98,416,0,4218,FALSE,0,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.97,655,0,4941,FALSE,0.842374992207426,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.96,760,0,5303,FALSE,1.684749984414852,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.95,458,0,3700,FALSE,2.5271249766210806,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.94,250,0,2555,FALSE,3.369499968828506,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.93,156,0,2040,FALSE,4.211874961034735,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.92,289,0,1561,FALSE,5.054249953242161,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.91,131,0,1097,FALSE,5.896624945449588,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.9,34,0,441,FALSE,6.738999937655816,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.82,8,0,18,FALSE,13.477999875312829,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.76,15,0,173,FALSE,18.532249828553795,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.75,33,0,298,FALSE,19.374624820761223,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.74,73,0,409,FALSE,20.216999812968645,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.61,-73.73,80,0,385,FALSE,21.059374805174876,-15.567311232694669,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
