Lat_Grid,Lon_Grid,Total_Trips,Percentage
40.63,-73.93,328,0.007
40.82,-73.89,328,0.007
40.75,-73.86,326,0.007
40.730000000000004,-73.82000000000001,323,0.007
40.58,-73.96000000000001,321,0.007
40.7,-73.82000000000001,320,0.007
40.71,-73.78,320,0.007
40.64,-73.94,319,0.007
40.81,-74.07000000000001,319,0.007
40.72,-73.82000000000001,318,0.007
40.61,-74.01,317,0.007
40.62,-73.93,317,0.007
40.59,-73.96000000000001,314,0.007
40.59,-73.97,313,0.007
40.6,-73.95,312,0.007
40.71,-74.03,312,0.007
40.74,-74.06,309,0.007
40.910000000000004,-73.9,309,0.007
40.69,-73.9,308,0.007
40.6,-74,307,0.007
40.7,-73.8,307,0.007
40.58,-73.95,304,0.007
40.58,-73.94,301,0.007
40.65,-73.92,300,0.007
40.85,-73.84,300,0.007
40.7,-73.84,299,0.007
40.63,-74,298,0.007
40.71,-73.86,297,0.007
40.72,-73.83,295,0.007
40.75,-73.82000000000001,294,0.007
40.71,-74.06,293,0.007
40.71,-73.87,292,0.007
40.61,-73.92,289,0.006
40.67,-73.89,289,0.006
40.85,-73.91,289,0.006
40.84,-73.86,288,0.006
40.730000000000004,-73.91,287,0.006
40.660000000000004,-73.89,282,0.006
40.67,-73.88,282,0.006
40.64,-73.91,279,0.006
40.6,-73.94,276,0.006
40.68,-73.84,276,0.006
40.68,-73.87,273,0.006
40.69,-73.83,273,0.006
40.730000000000004,-73.79,273,0.006
40.72,-74.07000000000001,272,0.006
40.79,-73.73,272,0.006
40.88,-73.89,272,0.006
40.81,-74.08,262,0.006
40.86,-73.91,262,0.006
40.61,-74.02,261,0.006
40.68,-73.86,261,0.006
40.69,-73.86,261,0.006
40.65,-73.9,259,0.006
40.58,-73.97,257,0.006
40.660000000000004,-73.97,257,0.006
40.62,-73.99,256,0.006
40.71,-73.88,254,0.006
40.61,-73.94,250,0.006
40.85,-73.83,250,0.006
40.65,-73.88,248,0.006
40.74,-73.82000000000001,242,0.005
40.84,-73.88,241,0.005
40.660000000000004,-73.9,240,0.005
40.68,-73.8,240,0.005
40.69,-73.85000000000001,240,0.005
40.79,-74,240,0.005
40.85,-73.88,236,0.005
40.69,-73.82000000000001,235,0.005
40.78,-74.02,234,0.005
40.67,-73.87,233,0.005
40.61,-73.99,229,0.005
40.75,-74.05,228,0.005
40.67,-73.9,226,0.005
40.83,-73.9,226,0.005
40.6,-73.98,225,0.005
40.910000000000004,-73.78,225,0.005
40.9,-73.91,224,0.005
40.65,-73.8,223,0.005
40.74,-73.81,221,0.005
40.85,-73.97,221,0.005
40.84,-73.83,217,0.005
40.85,-73.9,216,0.005
40.76,-73.8,214,0.005
40.68,-73.85000000000001,213,0.005
40.59,-73.94,212,0.005
40.77,-73.83,211,0.005
40.84,-73.85000000000001,211,0.005
40.71,-73.81,210,0.005
40.74,-73.78,210,0.005
40.67,-73.83,208,0.005
40.7,-73.87,208,0.005
40.83,-73.91,208,0.005
40.76,-73.81,207,0.005
40.84,-73.84,201,0.005
40.86,-73.86,201,0.005
40.64,-73.9,200,0.004
40.86,-73.97,200,0.004
40.7,-73.88,198,0.004
40.78,-73.78,198,0.004
40.77,-73.82000000000001,195,0.004
40.82,-73.9,194,0.004
40.68,-73.89,193,0.004
40.72,-73.93,193,0.004
40.72,-73.78,193,0.004
40.59,-73.98,191,0.004
40.74,-74.07000000000001,191,0.004
40.63,-73.9,190,0.004
40.660000000000004,-73.84,190,0.004
40.84,-73.89,190,0.004
40.59,-73.99,189,0.004
40.83,-73.89,189,0.004
40.63,-73.99,185,0.004
40.800000000000004,-73.91,185,0.004
40.71,-73.72,184,0.004
40.85,-73.87,184,0.004
40.78,-73.84,183,0.004
40.83,-73.86,183,0.004
40.730000000000004,-73.83,182,0.004
40.78,-73.73,181,0.004
40.86,-73.85000000000001,181,0.004
40.67,-73.85000000000001,180,0.004
40.81,-73.91,179,0.004
40.89,-73.89,179,0.004
40.65,-73.84,178,0.004
40.67,-73.82000000000001,178,0.004
40.84,-73.87,178,0.004
40.660000000000004,-73.83,177,0.004
40.69,-73.81,176,0.004
40.64,-74.04,175,0.004
40.58,-73.98,174,0.004
